"Name","Description","Image Link","Price","Rating","Name Merchant"
"Advan Handphone Nasaplus 2 GB 16 GB Black + Start Go TWS 2 - Black","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_naH_UdHprObm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yh6ArOosyRoZFiqfuNPfYagVY2gmUE6_rfoprdoAjDUMVj9RosQR-BUstpHsnXHAraHAn76AKOoAeO6AeDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BN_c2o8JNEe_oo8j1p_1zs8jO1yRP681BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1Bd_c2Vq1hAZSuiHsuk3Bo-ojBWz9P68jj7_M2V81h9__-vuOu7_jz081NNHAzqzJ20_Vzz81N1Z9PquOj7_1PGQJNNZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBke3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B6qBBO_S2-HjNkyRP68j7p_7zs8JN1_3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-0PVYB8cVsPmUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-X9foxQMz2gcV7guYxgIHi6syDUMVi9RzBrRei6i-6UiFiPMuarfB5QiUEUSyaUS7?page=1&t=desktop&uid=0&is_search=1&cpm_template_req=2%2C3%2C4%2C5&keyword_correction=handphone&r=https%3A%2F%2Fwww.tokopedia.com%2Fstartgoofficial%2Fadvan-handphone-nasaplus-2-gb-16-gb-black-start-go-tws-2-black&src=search&keywords=handphone&template_id_used=3&click_ad_type=2&product_id=1486719855","899000","","garmastore"
"Advan Handphone Nasaplus 2 GB 16 GB Black + JBL - Black","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_naH_UdHprObm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yh6ArOosyRoZFiqfuNPfYagVY2gmUE6_rfoprdoAjDUMVj9RosQR-BUstpHsnXHAraHAn76AKOoAeO6AeDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BN_c2o8JNEe_oo8j1p_1zs8jO1yRP681BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1Bd_c2Vq1hAZSuiHsuk3Bo-ojBWz9P68jj7_M2V81h9__-vuOu7_jz081NNHAzqzJ20_Vzz81N1Z9PquOj7_1PGQJNNZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBke3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B6qBBO_S2-HjNkyRP68j7p_7zs8JN1_3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-0PVYB8cVsPmUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-X9foxQMz2gcV7guYxgIHi6syDUMVi9RzBrRei6i-6UiFiPMuarfB5QiUEUSyaUS7?t=desktop&is_search=1&template_id_used=3&click_ad_type=2&keywords=handphone&page=1&cpm_template_req=2%2C3%2C4%2C5&keyword_correction=handphone&product_id=1486711656&uid=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fstartgoofficial%2Fadvan-handphone-nasaplus-2-gb-16-gb-black-jbl-black&src=search","770000","4.8","garmastore"
"Advan Handphone Nasaplus 2 GB 16 GB Blue - Deep Blue","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_naH_UdHprObm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yh6ArOosyRoZFiqfuNPfYagVY2gmUE6_rfoprdoAjDUMVj9RosQR-BUstpHsnXHAraHAn76AKOoAeO6AeDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BN_c2o8JNEe_oo8j1p_1zs8jO1yRP681BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1Bd_c2Vq1hAZSuiHsuk3Bo-ojBWz9P68jj7_M2V81h9__-vuOu7_jz081NNHAzqzJ20_Vzz81N1Z9PquOj7_1PGQJNNZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBke3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B6qBBO_S2-HjNkyRP68j7p_7zs8JN1_3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-0PVYB8cVsPmUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-X9foxQMz2gcV7guYxgIHi6syDUMVi9RzBrRei6i-6UiFiPMuarfB5QiUEUSyaUS7?is_search=1&cpm_template_req=2%2C3%2C4%2C5&product_id=1439811498&uid=0&keywords=handphone&template_id_used=3&click_ad_type=2&r=https%3A%2F%2Fwww.tokopedia.com%2Fstartgoofficial%2Fadvan-handphone-nasaplus-2-gb-16-gb-blue-deep-blue&page=1&keyword_correction=handphone&t=desktop&src=search","770000","4.9","garmastore"
"Inone Handphone Lava Arc 108 Dual Sim Internet GPRS with FM Radio - Biru","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6_jNH_KdopJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJdop1fosrObm-srcHi6sJFHAnDUMVj9RosQR-BUsthoAUfbsrho_JDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1H7oJOJ3_C6uJ1a_uz-o1OJ_9BoqB17Z3BRqujp1SByH7ND3uxGqMVAZ_g-qjuO_M2zoJOEu9x6qBJ7_92u8JNk1_z617BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-POB1z_zgqMoR33jF81OkZM2HuVJF_BPgPJYJ1_uoq_VW392ZqOBEe9PgqMWN_3Ooq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr7OD6IB6ZIKdypoZPcgU8IoouRxfgAod6VjaZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z92ouVBO_uzgP7O1_926zVja_Bzu81O1yfBHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9BvzVuO_92z8jOJe_z68Mrh_M2SoJNAZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA1d9ZFiQBYsy3Njq3zxPcuwy3zpUstR6mFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJ7H_UDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UBOY?page=1&t=desktop&dv=desktop&keywords=handphone&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Finoneofficial%2Finone-handphone-lava-arc-108-dual-sim-internet-gprs-with-fm-radio-biru%3Fsrc%3Dtopads&src=search&is_search=1&ob=23","129900","4.7","garmastore"
"Advan Nasaplus 2GB 16GB Smartphone Android10 Quadcore Garansi Resmi - Hitam","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopH7HpJfoAHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJdop1fosrObm-srcHi6sKFHmFiy3zwrfo5rM1i6sJp6AHXoprhomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zN_1zuoJYJZ926uJjO_jzV8JNE3_--q9P23_oZ8uKp_Mhg3J2ky1o-ojBkz9uo8jOE_92o8jOE_92o8jOE_92o8jN_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BR3uzVoVBkyRPgq_CN_32Gqjh11_C6uOB7_7zzo1O2H3Og8B-0392CPOBkqRBoQ1O2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_3Fd81NU8AxsHO-7gjxdr7O98IgjHRKd3_--q1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81Y1z9u68B17_uzVoJNJZ9P6uVVN_32uq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NE39u68B1F_32sHJN1yRPvuJBE_7oG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srdbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoAyaopKDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UBOY?t=desktop&page=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fadvan-official%2Fadvan-nasaplus-2gb-16gb-smartphone-android10-quadcore-garansi-resmi-hitam%3Fsrc%3Dtopads&src=search&is_search=1&ob=23&keywords=handphone&management_type=1","849000","4.8","garmastore"
"[PROMO] OPPO RENO5 5G SMARTPHONE 8 GB / 128 GB RENO 5 GARANSI RESMI - Fantasy Silver","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6_jpH_e7H_yDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJdop1fosrObm-srcHi6syOHmFiy3zwrfo5rM1i6sJp6AUXoAnfHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9xHqjja_M2gHjNk3_-6qBja_M2gHjNk33BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_1PV8JYIZ_ooz7B7_32-8uBNHAC6zVgW_VzSHJY1Z9zqQ17F3jPoP7OIZ_uoqj2kZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzGgjOk1sxMZJdFyBxd6c-JzSoiHfedgjP6q1B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Ok3_oHqBJO_M2CHjNEqpzo8MrO_7zoHJB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Okyp-HqBJ7_uz-8JYJz_zozcoN_uzoq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUstR6mFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUOosJ7bm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUaom-Pwe?ob=23&keywords=handphone&page=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fbonbon-elektronik%2Fpromo-oppo-reno5-5g-smartphone-8-gb-128-gb-reno-5-garansi-resmi-fantasy-silver%3Fsrc%3Dtopads&is_search=1&management_type=2&src=search&t=desktop","6099000","5.0","garmastore"
"HP HANDPHONE NOKIA 105 JADUL DUAL SIM TERBARU SC - Biru","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_nhHsKR6Arhbm-xgVY789CBUsthbm-FQRo2PcB5QiUEomFiPcBWgZUEH_yh6ArOosyRoZFiyRCsUst7HAnDUMVj9RosQR-BUsthHpKabsHaHseDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BN_c2oH1OkqpCouJ1p_M2zH7OJu_zvzJO2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1OIz9xvz7jp_1P-PJOkZ9Bg8_nF_jz3Q1h1gpCvuJB73MOoHV2I_9Poz7jO_32GqjB2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZMgoqBUdgjx6Hc-y8AxizJgpysoj6cgI_MB-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMHO_c2-o1YJZ92vuVjF_BzV8JY11_V-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMHa_c2zHjNJ1_-vuJVN_jzu81YJ33BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnO6V7DUMNwyfVXgcBjy9zB9fVjraUEopKDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsthopjdHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHsei997?src=search&keywords=handphone&management_type=1&page=1&ob=23&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmakmurjayav2%2Fhp-handphone-nokia-105-jadul-dual-sim-terbaru-sc-biru%3Fsrc%3Dtopads&is_search=1&dv=desktop","140000","5.0","garmastore"
"HP HAPE HANDPHONE JADUL SAMSUNG 1272 DUAL SIM BARU NEW TERMURAH MURAH","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6An7o_1dHAeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJdop1fosrObm-srcHi6srOHmFiy3zwrfo5rM1i6sJp6AJXHAn7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oAC68jJh_7zS81OEu9BvuVVd_uzsH1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32-q1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBoz7ud_7P-H7OIZ9zoqjBN39jFHJNJuMOHucrF_Oz-PV2W__Cqz7OR_1P-o1OkZM2-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2M_32Z6cgU_sCi3IKdyjzcrfUpgAxMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_320o1hk1_V6qMDF_7z-8jYJZ_uouVu2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2gP1Oke9P68MWE_32VHJOk39P6qMo2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srdbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_rN6AHDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UBOY?r=https%3A%2F%2Fwww.tokopedia.com%2Ftoko-absolute%2Fhp-hape-handphone-jadul-samsung-1272-dual-sim-baru-new-termurah-murah%3Fsrc%3Dtopads&is_search=1&management_type=1&t=desktop&dv=desktop&src=search&keywords=handphone&page=1&ob=23","157900","4.6","garmastore"
"Xiaomi Poco M3 6GB / 128GB 4GB / 64GB Garansi Resmi 1 Tahun","asd","https://www.tokopedia.com/dewaponselrakyat/xiaomi-poco-m3-6gb-128gb-4gb-64gb-garansi-resmi-1-tahun-4-64-non-bonus?whid=0","1990000","4.9","garmastore"
"Samsung Galaxy A01 Core 2/32GB Garansi Resmi Samsung A01 2 GB 32 GB","asd","https://www.tokopedia.com/distriponsel/samsung-galaxy-a01-core-2-32gb-garansi-resmi-samsung-a01-2-gb-32-gb-non-bundle-1gb-16gb?whid=0","904000","4.8","garmastore"
